gwasAcronym	gwasTrait	gwasUrl	gwasFilename	gwasArticle	gwasPubmed	gwasDownloadDate	gwasAncestry	gwasExclude	gwasNotes	acknowledgements	inMultiReg	inGgoma	hasNewVersion
stroke_svd	Ischemic stroke (small vessel)	http://cerebrovascularportal.org/informational/downloads	metastroke.svd.chr.bp	Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies	23041239		eur	0			0	0	0
swb	Subjective Well Being	http://ssgac.org/documents/SWB_Full.txt.gz	SWB_Full.txt.gz	Genetic variants associated with subjective well-being, depressive symptoms and neuroticism identified through genome-wide analyses	27089181	2017-02-03	eur	0	-	-	1	1	0
sz3	Schizophrenia 3	https://figshare.com/articles/dataset/scz2022/19426775	daner_PGC_SCZ_w3_90_0418b.gz	Mapping genomic loci implicates genes and synaptic biology in schizophrenia	35396580	-	?	0	-	-	0	0	0
sz_trs	Schizophrenia treatment resistant	https://walters.psycm.cf.ac.uk/	trs_interaction.sumstats.txt	Interaction Testing and Polygenic Risk Scoring to Estimate the Association of Common Genetic Variants With Treatment Resistance in Schizophrenia	35019943	-	?	0	-	-	0	0	0
sz_gpc_mvp_afr	Schizophrenia PGC+MVP (AFR)	/sc/arion/projects/va-biobank/resources/GWAS/PRSCS/meta.scz.afrS.csp572_gpc1.tbl.rsid.txt.gz	meta.scz.afrS.csp572_gpc1.tbl.rsid.txt.gz	Genome-Wide Association Studies of Schizophrenia and Bipolar Disorder in a Diverse Cohort of US Veterans	33169155	-	?	0	-	-	0	0	0
sz_eur	Schizophrenia EUR ancestry	https://figshare.com/articles/dataset/scz2022/19426775	PGC3_SCZ_wave3.european.autosome.public.v3.vcf.tsv.gz	Mapping genomic loci implicates genes and synaptic biology in schizophrenia	35396580	-	?	0	-	-	0	0	0
SCZ_MVP4_PGC3	Schizophrenia MVP4+PGC3 (EUR)				-	-	eur	0	-	-	0	0	0
SCZ_MVP4_PGC3_AA_GPC	Schizophrenia MVP4+PGC3 (AFR)				-	-	afr	0	-	-	0	0	0
tourette	Tourette Syndrome	http://www.med.unc.edu/pgc/results-and-downloads	TS_Oct2018.gz	Interrogating the genetic determinants of Tourette syndrome and other tic disorders through genome-wide association studies	30818990		eur	0			0	0	0
uc	Ulcerative Colitis	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-filtered-summary-stats.tgz	EUR.UC.gwas_info03_filtered.assoc	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations	26192919	2017-02-02	eur	0	-	-	1	0	0
cud	Cannabis use disorder	https://doi.org/10.6084/m9.figshare.14842692	CUD_EUR_casecontrol_public_11.14.2020.gz	A large-scale genome-wide association study meta-analysis of cannabis use disorder	33096046	2021-11-06	eur	0	-		0	0	0
od	Opioid dependence	https://doi.org/10.6084/m9.figshare.14672211	opi.DEPvEXP_EUR.noAF.tbl.gz	Leveraging genome-wide data to investigate differences between opioid use vs. opioid dependence in 41,176 individuals from the Psychiatric Genomics Consortium	32099098	2021-11-06	?	0			0	0	0
egg	Childhood obesity	http://egg-consortium.org/Childhood_Obesity_2013/EGG_Obesity_Meta_Analysis_1.txt.gz	EGG_Obesity_Meta_Analysis_1.txt.gz 	A genome-wide association meta-analysis identifies new childhood obesity loci	22484627	2021-11-06	eur	0			0	0	0
whr	Waist-hip ratio	https://zenodo.org/record/1251813/files/whr.giant-ukbb.meta-analysis.combined.23May2018.txt.gz?download=1	whr.giant-ukbb.meta-analysis.combined.23May2018.txt.gz	Meta-analysis of genome-wide association studies for body fat distribution in 694 649 individuals of European ancestry	30239722	2021-11-06	?	0			0	0	0
sbp	Systolic blood pressure	https://atlas.ctglab.nl/ukb2_sumstats/f.4080.0.0_res.EUR.sumstats.MACfilt.txt.gz	f.4080.0.0_res.EUR.sumstats.MACfilt.txt.gz	A global overview of pleiotropy and genetic architecture in complex traits	31427789	2021-11-06	?	0			0	0	0
hbp	High blood pressure	https://atlas.ctglab.nl/ukb2_sumstats/6150_4_logistic.EUR.sumstats.MACfilt.txt.gz	6150_4_logistic.EUR.sumstats.MACfilt.txt.gz	A global overview of pleiotropy and genetic architecture in complex traits	31427789	2021-11-06	?	0			0	0	0
obesity	Obesity	https://atlas.ctglab.nl/ukb2_sumstats/41204_E66_logistic.EUR.sumstats.MACfilt.txt.gz	41204_E66_logistic.EUR.sumstats.MACfilt.txt.gz	A global overview of pleiotropy and genetic architecture in complex traits	31427789	2021-11-06	?	0			0	0	0
bed_2023	Binge eating				37550530	From-sanan	eur	0	-	-	0	0	0
bed_MVP_BMI_EUR_1SE	BED MVP EUR 1SE		MVP_BED.ICD_MLED_EUR_HARE.maf0.005.rsq0.4.txt.gz		-	2022-01-14	eur	0			0	0	0
sz_mvp	Schizophrenia MVP+PGC	From George: /sc/arion/projects/va-biobank/resources/GWAS/GWAS_INBOX/PGC3plusMVP_CSP572/	meta.csp572_mvp006_eur-SCZ_clean.pgc3_scz.rsids_alleleUpper_fixedForMagma.txt.gz		-	2022-01-06	?	0			0	0	0
bip_mvp	Bipolar Disorder MVP+PGC	From George: /sc/arion/projects/va-biobank/resources/GWAS/GWAS_INBOX/PGC3plusMVP_CSP572/	meta.csp572_mvp006_eur-BIP_clean.pgc3_bip.rsids_alleleUpper_fixedForMagma.txt.gz		-	2022-01-06	mixed	0			0	0	0
longevity_2019	Longevity MetaAnalysis	https://cluster.hpcc.ucr.edu/~devans/www-project/METAANALYSIS_90_metaX.csv.gz				2023-11-24	mixed	0	-		0	0	0
